"","model_label","Model_Code","refLabel","refPercent","BpS_Name","Var1","Var2","Freq","BPS_CODE","ZONE","total_count","currentPercent"
"1","13470_55_58_60_A","13470_55_58_60","A",13,"Atlantic Coastal Plain Upland Longleaf Pine Woodland",NA,NA,NA,NA,NA,NA,NA
"2","13470_55_58_60_B","13470_55_58_60","B",5,"Atlantic Coastal Plain Upland Longleaf Pine Woodland",1297,2,1,13470,55,2,50
"3","13470_55_58_60_C","13470_55_58_60","C",40,"Atlantic Coastal Plain Upland Longleaf Pine Woodland",NA,NA,NA,NA,NA,NA,NA
"4","13470_55_58_60_D","13470_55_58_60","D",40,"Atlantic Coastal Plain Upland Longleaf Pine Woodland",NA,NA,NA,NA,NA,NA,NA
"5","13470_55_58_60_E","13470_55_58_60","E",2,"Atlantic Coastal Plain Upland Longleaf Pine Woodland",NA,NA,NA,NA,NA,NA,NA
"6","13470_55_58_60_Agriculture","13470_55_58_60","Agriculture",0,"Atlantic Coastal Plain Upland Longleaf Pine Woodland",NA,NA,NA,NA,NA,NA,NA
"7","13470_55_58_60_Developed","13470_55_58_60","Developed",0,"Atlantic Coastal Plain Upland Longleaf Pine Woodland",1297,120,1,13470,55,2,50
"8","13470_55_58_60_Water","13470_55_58_60","Water",0,"Atlantic Coastal Plain Upland Longleaf Pine Woodland",NA,NA,NA,NA,NA,NA,NA
"9","13470_55_58_60_UN","13470_55_58_60","UN",0,"Atlantic Coastal Plain Upland Longleaf Pine Woodland",NA,NA,NA,NA,NA,NA,NA
"10","13470_55_58_60_UE","13470_55_58_60","UE",0,"Atlantic Coastal Plain Upland Longleaf Pine Woodland",NA,NA,NA,NA,NA,NA,NA
"11","13570_46_47_55_58_99_A","13570_46_47_55_58_99","A",8,"Southern Coastal Plain Mesic Slope Forest",NA,NA,NA,NA,NA,NA,NA
"12","13570_46_47_55_58_99_B","13570_46_47_55_58_99","B",30,"Southern Coastal Plain Mesic Slope Forest",NA,NA,NA,NA,NA,NA,NA
"13","13570_46_47_55_58_99_C","13570_46_47_55_58_99","C",6,"Southern Coastal Plain Mesic Slope Forest",1300,3,5,13570,55,14,35
"14","13570_46_47_55_58_99_D","13570_46_47_55_58_99","D",15,"Southern Coastal Plain Mesic Slope Forest",NA,NA,NA,NA,NA,NA,NA
"15","13570_46_47_55_58_99_E","13570_46_47_55_58_99","E",41,"Southern Coastal Plain Mesic Slope Forest",NA,NA,NA,NA,NA,NA,NA
"16","13570_46_47_55_58_99_Agriculture","13570_46_47_55_58_99","Agriculture",0,"Southern Coastal Plain Mesic Slope Forest",NA,NA,NA,NA,NA,NA,NA
