"","VALUE","Freq","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",11,35189,"Open Water",0,0,255,0,0,1,7826,35.4
"2",13,12,"Developed-Upland Deciduous Forest",64,61,168,0.25098,0.239216,0.658824,3,0
"3",14,448,"Developed-Upland Evergreen Forest",68,79,137,0.266667,0.309804,0.537255,100,0.5
"4",15,64,"Developed-Upland Mixed Forest",102,119,205,0.4,0.466667,0.803922,14,0.1
"5",16,102,"Developed-Upland Herbaceous",122,142,245,0.478431,0.556863,0.960784,23,0.1
"6",17,110,"Developed-Upland Shrubland",158,170,215,0.619608,0.666667,0.843137,24,0.1
"7",22,842,"Developed-Low Intensity",255,122,143,1,0.478431,0.560784,187,0.8
"8",23,658,"Developed-Medium Intensity",253,44,79,0.992157,0.172549,0.309804,146,0.7
"9",24,106,"Developed-High Intensity",173,0,28,0.678431,0,0.109804,24,0.1
"10",25,2064,"Developed-Roads",1,1,1,0.003921,0.003921,0.003921,459,2.1
"11",31,557,"Barren",191,191,191,0.74902,0.74902,0.74902,124,0.6
"12",61,1,"NASS-Vineyard",168,0,132,0.658824,0,0.517647,0,0
"13",64,10,"NASS-Row Crop",250,255,119,0.980392,1,0.466667,2,0
"14",65,2,"NASS-Close Grown Crop",255,237,119,1,0.929412,0.466667,0,0
"15",112,1,"Tree Cover = 12%",199,250,147,0.780392,0.980392,0.576471,0,0
"16",113,1,"Tree Cover = 13%",194,247,143,0.760784,0.968627,0.560784,0,0
"17",114,1,"Tree Cover = 14%",192,245,142,0.752941,0.960784,0.556863,0,0
"18",115,111,"Tree Cover = 15%",188,242,138,0.737255,0.94902,0.541176,25,0.1
"19",116,4,"Tree Cover = 16%",183,240,134,0.717647,0.941176,0.52549,1,0
"20",117,2,"Tree Cover = 17%",181,237,133,0.709804,0.929412,0.521569,0,0
"21",119,1,"Tree Cover = 19%",173,232,125,0.678431,0.909804,0.490196,0,0
"22",120,4,"Tree Cover = 20%",173,232,125,0.678431,0.909804,0.490196,1,0
"23",121,2,"Tree Cover = 21%",170,230,122,0.666667,0.901961,0.478431,0,0
"24",122,6,"Tree Cover = 22%",165,227,118,0.647059,0.890196,0.462745,1,0
"25",123,3,"Tree Cover = 23%",163,224,117,0.639216,0.878431,0.458824,1,0
"26",124,3,"Tree Cover = 24%",160,222,113,0.627451,0.870588,0.443137,1,0
"27",125,458,"Tree Cover = 25%",155,219,110,0.607843,0.858824,0.431373,102,0.5
"28",126,2,"Tree Cover = 26%",154,217,108,0.603922,0.85098,0.423529,0,0
"29",127,4,"Tree Cover = 27%",150,214,105,0.588235,0.839216,0.411765,1,0
"30",128,8,"Tree Cover = 28%",146,212,102,0.572549,0.831373,0.4,2,0
"31",129,11,"Tree Cover = 29%",144,209,100,0.564706,0.819608,0.392157,2,0
"32",130,9,"Tree Cover = 30%",143,209,98,0.560784,0.819608,0.384314,2,0
"33",131,11,"Tree Cover = 31%",138,207,95,0.541176,0.811765,0.372549,2,0
"34",132,23,"Tree Cover = 32%",136,204,94,0.533333,0.8,0.368627,5,0
"35",133,23,"Tree Cover = 33%",133,201,91,0.521569,0.788235,0.356863,5,0
"36",134,40,"Tree Cover = 34%",128,199,88,0.501961,0.780392,0.345098,9,0
"37",135,1976,"Tree Cover = 35%",127,196,86,0.498039,0.768627,0.337255,439,2
"38",136,86,"Tree Cover = 36%",124,194,83,0.486275,0.760784,0.32549,19,0.1
"39",137,87,"Tree Cover = 37%",119,191,80,0.466667,0.74902,0.313725,19,0.1
"40",138,119,"Tree Cover = 38%",118,189,79,0.462745,0.741176,0.309804,26,0.1
"41",139,157,"Tree Cover = 39%",115,186,76,0.45098,0.729412,0.298039,35,0.2
"42",140,242,"Tree Cover = 40%",112,186,74,0.439216,0.729412,0.290196,54,0.2
"43",141,286,"Tree Cover = 41%",110,184,73,0.431373,0.721569,0.286275,64,0.3
"44",142,347,"Tree Cover = 42%",107,181,71,0.419608,0.709804,0.278431,77,0.3
"45",143,431,"Tree Cover = 43%",103,179,68,0.403922,0.701961,0.266667,96,0.4
"46",144,494,"Tree Cover = 44%",101,176,67,0.396078,0.690196,0.262745,110,0.5
"47",145,4069,"Tree Cover = 45%",99,173,64,0.388235,0.678431,0.25098,905,4.1
"48",146,635,"Tree Cover = 46%",94,171,62,0.368627,0.670588,0.243137,141,0.6
"49",147,665,"Tree Cover = 47%",93,168,61,0.364706,0.658824,0.239216,148,0.7
"50",148,678,"Tree Cover = 48%",90,166,58,0.352941,0.65098,0.227451,151,0.7
"51",149,638,"Tree Cover = 49%",86,163,55,0.337255,0.639216,0.215686,142,0.6
"52",150,624,"Tree Cover = 50%",86,163,55,0.337255,0.639216,0.215686,139,0.6
"53",151,542,"Tree Cover = 51%",84,161,53,0.329412,0.631373,0.207843,121,0.5
"54",152,634,"Tree Cover = 52%",79,158,51,0.309804,0.619608,0.2,141,0.6
"55",153,588,"Tree Cover = 53%",78,156,50,0.305882,0.611765,0.196078,131,0.6
"56",154,600,"Tree Cover = 54%",76,153,47,0.298039,0.6,0.184314,133,0.6
"57",155,2403,"Tree Cover = 55%",71,150,45,0.278431,0.588235,0.176471,534,2.4
"58",156,508,"Tree Cover = 56%",69,148,43,0.270588,0.580392,0.168627,113,0.5
"59",157,509,"Tree Cover = 57%",68,145,42,0.266667,0.568627,0.164706,113,0.5
"60",158,482,"Tree Cover = 58%",64,143,40,0.25098,0.560784,0.156863,107,0.5
"61",159,443,"Tree Cover = 59%",62,140,38,0.243137,0.54902,0.14902,99,0.4
"62",160,432,"Tree Cover = 60%",62,140,38,0.243137,0.54902,0.14902,96,0.4
"63",161,482,"Tree Cover = 61%",58,138,36,0.227451,0.541176,0.141176,107,0.5
"64",162,539,"Tree Cover = 62%",56,135,34,0.219608,0.529412,0.133333,120,0.5
"65",163,644,"Tree Cover = 63%",55,133,33,0.215686,0.521569,0.129412,143,0.6
"66",164,741,"Tree Cover = 64%",51,130,31,0.2,0.509804,0.121569,165,0.7
"67",165,1738,"Tree Cover = 65%",49,128,29,0.192157,0.501961,0.113725,387,1.7
"68",166,847,"Tree Cover = 66%",48,125,29,0.188235,0.490196,0.113725,188,0.9
"69",167,1403,"Tree Cover = 67%",44,122,27,0.172549,0.478431,0.105882,312,1.4
"70",168,679,"Tree Cover = 68%",43,120,25,0.168627,0.470588,0.098039,151,0.7
"71",169,670,"Tree Cover = 69%",42,117,25,0.164706,0.458824,0.098039,149,0.7
"72",170,590,"Tree Cover = 70%",39,117,23,0.152941,0.458824,0.090196,131,0.6
"73",171,568,"Tree Cover = 71%",37,115,22,0.145098,0.45098,0.086275,126,0.6
"74",172,515,"Tree Cover = 72%",36,112,21,0.141176,0.439216,0.082353,115,0.5
"75",173,512,"Tree Cover = 73%",33,110,20,0.129412,0.431373,0.078431,114,0.5
"76",174,436,"Tree Cover = 74%",32,107,18,0.12549,0.419608,0.070588,97,0.4
"77",175,671,"Tree Cover = 75%",31,105,18,0.121569,0.411765,0.070588,149,0.7
"78",176,328,"Tree Cover = 76%",28,102,16,0.109804,0.4,0.062745,73,0.3
"79",177,276,"Tree Cover = 77%",26,99,15,0.101961,0.388235,0.058824,61,0.3
"80",178,241,"Tree Cover = 78%",26,97,15,0.101961,0.380392,0.058824,54,0.2
"81",179,250,"Tree Cover = 79%",23,94,13,0.090196,0.368627,0.05098,56,0.3
"82",180,148,"Tree Cover = 80%",22,94,12,0.086275,0.368627,0.047059,33,0.1
"83",181,100,"Tree Cover = 81%",21,92,12,0.082353,0.360784,0.047059,22,0.1
"84",182,124,"Tree Cover = 82%",19,89,11,0.07451,0.34902,0.043137,28,0.1
