"","VALUE","Freq","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",11,35189,"Open Water",0,0,255,0,0,1,7826,35.4
"2",13,12,"Developed-Upland Deciduous Forest",64,61,168,0.25098,0.239216,0.658824,3,0
"3",14,448,"Developed-Upland Evergreen Forest",68,79,137,0.266667,0.309804,0.537255,100,0.5
"4",15,64,"Developed-Upland Mixed Forest",102,119,205,0.4,0.466667,0.803922,14,0.1
"5",16,102,"Developed-Upland Herbaceous",122,142,245,0.478431,0.556863,0.960784,23,0.1
"6",17,110,"Developed-Upland Shrubland",158,170,215,0.619608,0.666667,0.843137,24,0.1
"7",22,842,"Developed - Low Intensity",255,122,143,1,0.478431,0.560784,187,0.8
"8",23,658,"Developed - Medium Intensity",253,44,79,0.992157,0.172549,0.309804,146,0.7
"9",24,106,"Developed - High Intensity",173,0,28,0.678431,0,0.109804,24,0.1
"10",25,2064,"Developed-Roads",1,1,1,0.003921,0.003921,0.003921,459,2.1
"11",31,557,"Barren",191,191,191,0.74902,0.74902,0.74902,124,0.6
"12",61,1,"NASS-Vineyard",168,0,132,0.658824,0,0.517647,0,0
"13",64,10,"NASS-Row Crop",250,255,119,0.980392,1,0.466667,2,0
"14",65,2,"NASS-Close Grown Crop",255,237,119,1,0.929412,0.466667,0,0
"15",101,1,"Tree Height = 1 meter",204,255,153,0.8,1,0.6,0,0
"16",102,6,"Tree Height = 2 meters",199,250,147,0.780392,0.980392,0.576471,1,0
"17",103,141,"Tree Height = 3 meters",192,245,142,0.752941,0.960784,0.556863,31,0.1
"18",104,29,"Tree Height = 4 meters",188,242,138,0.737255,0.94902,0.541176,6,0
"19",105,100,"Tree Height = 5 meters",181,237,133,0.709804,0.929412,0.521569,22,0.1
"20",106,232,"Tree Height = 6 meters",178,235,129,0.698039,0.921569,0.505882,52,0.2
"21",107,430,"Tree Height = 7 meters",171,230,124,0.670588,0.901961,0.486275,96,0.4
"22",108,2502,"Tree Height = 8 meters",168,227,120,0.658824,0.890196,0.470588,556,2.5
"23",109,1289,"Tree Height = 9 meters",160,222,113,0.627451,0.870588,0.443137,287,1.3
"24",110,1876,"Tree Height = 10 meters",155,219,110,0.607843,0.858824,0.431373,417,1.9
"25",111,2237,"Tree Height = 11 meters",150,214,105,0.588235,0.839216,0.411765,497,2.2
"26",112,2611,"Tree Height = 12 meters",146,212,102,0.572549,0.831373,0.4,581,2.6
"27",113,2602,"Tree Height = 13 meters",141,207,97,0.552941,0.811765,0.380392,579,2.6
"28",114,2251,"Tree Height = 14 meters",136,204,94,0.533333,0.8,0.368627,501,2.3
"29",115,1945,"Tree Height = 15 meters",131,199,90,0.513725,0.780392,0.352941,433,2
"30",116,1679,"Tree Height = 16 meters",127,196,86,0.498039,0.768627,0.337255,373,1.7
"31",117,1357,"Tree Height = 17 meters",119,191,80,0.466667,0.74902,0.313725,302,1.4
"32",118,8516,"Tree Height = 18 meters",116,189,77,0.454902,0.741176,0.301961,1894,8.6
"33",119,1161,"Tree Height = 19 meters",110,184,73,0.431373,0.721569,0.286275,258,1.2
"34",120,724,"Tree Height = 20 meters",107,181,71,0.419608,0.709804,0.278431,161,0.7
"35",121,233,"Tree Height = 21 meters",101,176,67,0.396078,0.690196,0.262745,52,0.2
"36",122,109,"Tree Height = 22 meters",99,173,64,0.388235,0.678431,0.25098,24,0.1
"37",123,25,"Tree Height = 23 meters",93,168,61,0.364706,0.658824,0.239216,6,0
"38",124,4,"Tree Height = 24 meters",87,166,56,0.341176,0.65098,0.219608,1,0
"39",203,27,"Shrub Height = 0.3 meter",209,166,117,0.819608,0.65098,0.458824,6,0
"40",205,3,"Shrub Height = 0.5 meter",207,155,109,0.811765,0.607843,0.427451,1,0
"41",206,4,"Shrub Height = 0.6 meter",207,149,105,0.811765,0.584314,0.411765,1,0
"42",207,4,"Shrub Height = 0.7 meter",204,145,102,0.8,0.568627,0.4,1,0
"43",208,306,"Shrub Height = 0.8 meter",201,137,97,0.788235,0.537255,0.380392,68,0.3
"44",209,12,"Shrub Height = 0.9 meter",201,134,95,0.788235,0.52549,0.372549,3,0
"45",210,36,"Shrub Height = 1 meter",199,126,90,0.780392,0.494118,0.352941,8,0
"46",211,43,"Shrub Height = 1.1 meters",196,121,86,0.768627,0.47451,0.337255,10,0
"47",212,50,"Shrub Height = 1.2 meters",196,115,82,0.768627,0.45098,0.321569,11,0.1
"48",213,47,"Shrub Height = 1.3 meters",194,110,79,0.760784,0.431373,0.309804,10,0
"49",214,58,"Shrub Height = 1.4 meters",191,105,77,0.74902,0.411765,0.301961,13,0.1
"50",215,58,"Shrub Height = 1.5 meters",191,100,73,0.74902,0.392157,0.286275,13,0.1
"51",216,60,"Shrub Height = 1.6 meters",189,94,70,0.741176,0.368627,0.27451,13,0.1
"52",217,65,"Shrub Height = 1.7 meters",186,89,67,0.729412,0.34902,0.262745,14,0.1
"53",218,44,"Shrub Height = 1.8 meters",184,83,62,0.721569,0.32549,0.243137,10,0
"54",219,36,"Shrub Height = 1.9 meters",184,79,61,0.721569,0.309804,0.239216,8,0
"55",220,306,"Shrub Height = 2.0 meters",181,72,58,0.709804,0.282353,0.227451,68,0.3
"56",221,13,"Shrub Height = 2.1 meters",179,68,55,0.701961,0.266667,0.215686,3,0
"57",222,17,"Shrub Height = 2.2 meters",176,61,51,0.690196,0.239216,0.2,4,0
"58",223,10,"Shrub Height = 2.3 meters",173,57,49,0.678431,0.223529,0.192157,2,0
"59",224,9,"Shrub Height = 2.4 meters",173,51,47,0.678431,0.2,0.184314,2,0
"60",225,6,"Shrub Height = 2.5 meters",171,47,44,0.670588,0.184314,0.172549,1,0
"61",226,9,"Shrub Height = 2.6 meters",168,39,41,0.658824,0.152941,0.160784,2,0
"62",227,4,"Shrub Height = 2.7 meters",166,33,40,0.65098,0.129412,0.156863,1,0
"63",228,5,"Shrub Height = 2.8 meters",163,26,38,0.639216,0.101961,0.14902,1,0
"64",229,1,"Shrub Height = 2.9 meters",161,18,34,0.631373,0.070588,0.133333,0,0
"65",230,62,"Shrub Height >= 3.0 meters",158,0,32,0.619608,0,0.12549,14,0.1
"66",301,33,"Herb Height = 0.1 meter",255,204,102,1,0.8,0.4,7,0
"67",302,28,"Herb Height = 0.2 meter",255,186,89,1,0.729412,0.34902,6,0
"68",303,2568,"Herb Height = 0.3 meter",255,169,77,1,0.662745,0.301961,571,2.6
"69",305,310,"Herb Height = 0.5 meter",255,133,51,1,0.521569,0.2,69,0.3
"70",306,8754,"Herb Height = 0.6 meter",255,112,41,1,0.439216,0.160784,1947,8.8
"71",307,3751,"Herb Height = 0.7 meter",255,92,28,1,0.360784,0.109804,834,3.8
"72",308,4312,"Herb Height = 0.8 meter",255,73,18,1,0.286275,0.070588,959,4.3
"73",309,2094,"Herb Height = 0.9 meter",255,51,0,1,0.2,0,466,2.1
"74",310,4142,"Herb Height >= 1 meter",255,51,0,1,0.2,0,921,4.2
