"","VALUE","Freq","EVT_NAME","LFRDB","EVT_FUEL","EVT_FUEL_N","EVT_LF","EVT_PHYS","EVT_GP","EVT_GP_N","SAF_SRM","EVT_ORDER","EVT_CLASS","EVT_SBCLS","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",7292,35189,"Open Water",7292,11,"Ba Open Water","Water","Open Water",11,"Open Water","LF 11: Water","Non-vegetated","Non-vegetated","Non-vegetated",0,0,255,0,0,1,7826,35.4
"2",7296,842,"Developed-Low Intensity",7296,2902,"Bau Developed-Low Intensity","Developed","Developed-Low Intensity",22,"Developed-Low Intensity","LF 20: Developed","No Dominant Lifeform","No Dominant Lifeform","Developed",255,122,143,1,0.478431,0.560784,187,0.8
"3",7297,658,"Developed-Medium Intensity",7297,2903,"Bau Developed-Medium Intensity","Developed","Developed-Medium Intensity",23,"Developed-Medium Intensity","LF 20: Developed","No Dominant Lifeform","No Dominant Lifeform","Developed",253,44,79,0.992157,0.172549,0.309804,146,0.7
"4",7298,106,"Developed-High Intensity",7298,2904,"Bau Developed-High Intensity","Developed","Developed-High Intensity",24,"Developed-High Intensity","LF 20: Developed","No Dominant Lifeform","No Dominant Lifeform","Developed",173,0,28,0.678431,0,0.109804,24,0.1
"5",7299,2064,"Developed-Roads",7299,2905,"Bau Developed-Roads","Developed","Developed-Roads",25,"Developed-Roads","LF 20: Developed","No Dominant Lifeform","No Dominant Lifeform","Developed",1,1,1,0.003922,0.003922,0.003922,459,2.1
"6",7330,1873,"Southern Coastal Plain Dry Upland Hardwood Forest",7330,2330,"Tr Southern Coastal Plain Dry Upland Hardwood Forest","Tree","Hardwood",658,"Coastal Plain Oak Forest","SAF 89: Live Oak","Tree-dominated","Closed tree canopy","Deciduous closed tree canopy",145,255,115,0.568627,1,0.45098,417,1.9
"7",7356,1,"Florida Longleaf Pine Sandhill",7356,2356,"Tr Florida Longleaf Pine Sandhill","Tree","Conifer",677,"Longleaf Pine Woodland","SAF 71: Longleaf Pine-Scrub Oak","Tree-dominated","Open tree canopy","Evergreen open tree canopy",116,214,204,0.454902,0.839216,0.8,0,0
"8",7382,8329,"Southern Atlantic Coastal Plain Maritime Forest",7382,2382,"Tr Southern Atlantic Coastal Plain Maritime Forest","Tree","Hardwood",679,"Maritime Forest","SAF 74: Cabbage Palmetto","Tree-dominated","Closed tree canopy","Evergreen closed tree canopy",107,209,206,0.419608,0.819608,0.807843,1852,8.4
"9",7387,53,"Florida Peninsula Inland Scrub Shrubland",7387,2387,"Tr Florida Peninsula Inland Scrub","Shrub","Shrubland",691,"Southern Scrub Oak","SAF 72: Southern Scrub Oak","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",145,255,115,0.568627,1,0.45098,12,0.1
"10",7450,261,"Southern Atlantic Coastal Plain Wet Pine Savanna and Flatwoods",7450,2450,"Tr Southern Atlantic Coastal Plain Wet Pine Savanna and Flatwoods","Tree","Riparian",684,"Pine Flatwoods","SAF 83: Longleaf Pine-Slash Pine","Tree-dominated","Open tree canopy","Evergreen open tree canopy",116,214,204,0.454902,0.839216,0.8,58,0.3
