"","BPS_ID","EVT_ID","freq","acres","GROUPVEG","bps_acres","EVT_PHYS","evt_acres"
"1",11,7292,35189,7826,"BPS  Open Water",7826,"EVT  Open Water",7826
"2",31,9240,557,124,"BPS  Barren-Rock/Sand/Clay",124,"EVT  Sparsely Vegetated",124
"3",1297,7297,1,0,"BPS  Conifer",0,"EVT  Developed-Medium Intensity",146
"4",1297,7382,1,0,"BPS  Conifer",0,"EVT  Hardwood",1852
"5",1300,7330,2,0,"BPS  Hardwood",3,"EVT  Hardwood",417
"6",1300,7382,3,1,"BPS  Hardwood",3,"EVT  Hardwood",1852
"7",1300,9322,9,2,"BPS  Hardwood",3,"EVT  Conifer",1292
"8",1302,7296,627,139,"BPS  Hardwood-Conifer",5722,"EVT  Developed-Low Intensity",187
"9",1302,7297,571,127,"BPS  Hardwood-Conifer",5722,"EVT  Developed-Medium Intensity",146
"10",1302,7298,91,20,"BPS  Hardwood-Conifer",5722,"EVT  Developed-High Intensity",24
"11",1302,7299,1637,364,"BPS  Hardwood-Conifer",5722,"EVT  Developed-Roads",459
"12",1302,7330,1391,309,"BPS  Hardwood-Conifer",5722,"EVT  Hardwood",417
"13",1302,7356,1,0,"BPS  Hardwood-Conifer",5722,"EVT  Conifer",0
"14",1302,7382,7685,1709,"BPS  Hardwood-Conifer",5722,"EVT  Hardwood",1852
"15",1302,7387,23,5,"BPS  Hardwood-Conifer",5722,"EVT  Shrubland",12
"16",1302,7450,66,15,"BPS  Hardwood-Conifer",5722,"EVT  Riparian",58
"17",1302,7453,4316,960,"BPS  Hardwood-Conifer",5722,"EVT  Conifer",1267
"18",1302,7460,3,1,"BPS  Hardwood-Conifer",5722,"EVT  Riparian",6
"19",1302,7461,78,17,"BPS  Hardwood-Conifer",5722,"EVT  Riparian",93
"20",1302,7472,797,177,"BPS  Hardwood-Conifer",5722,"EVT  Shrubland",192
"21",1302,7489,18,4,"BPS  Hardwood-Conifer",5722,"EVT  Riparian",42
"22",1302,7501,1,0,"BPS  Hardwood-Conifer",5722,"EVT  Riparian",2
"23",1302,7547,190,42,"BPS  Hardwood-Conifer",5722,"EVT  Riparian",532
"24",1302,7565,1,0,"BPS  Hardwood-Conifer",5722,"EVT  Conifer",0
